id,name,maker,variant,type,thcPct,cbdPct,productType,strainType
curaleaf-tripoli-20-1-flower,Tripoli,Curaleaf,,flower,20,1
upstate-crossbow-26-1-flower,Crossbow,Upstate,,flower,26,1
4clabs-gary-busey-30-1-flower,Gary Busey,4C Labs,,flower,30,1
ips-pharma-black-amber-32-1-flower,Black Amber,IPS Pharma,,flower,32,1
tyson-frozen-fist-26-0p1-flower,Frozen Fist,Tyson,,flower,26,0.1
4clabs-craft-khalifa-mints-24-1-flower,Khalifa Mints,4C Labs Craft,,flower,24,1
ttp-1-afc-25-1-flower,Animal Face,The Plug,,flower,25,1
pck-1packs-rs11-24-1-flower,RS-11,1Packs,,flower,24,1
hst-2-headstone-black-mountain-side-30-1-flower,Black Mountain Side,Headstone,,flower,30,1
vas-5-vasco-pave-runtz-28-1-flower,Pave Runtz,Vasco,,flower,28,1
4clabs-donkey-butter-31-1-flower,Donkey Butter,4C Labs,,flower,31,1
glass-pharms-super-mac-25-1-flower,Super M.A.C.,Glass Pharms,,flower,25,1
glass-pharms-first-class-funk-26-1-flower,First Class Funk,Glass Pharms,,flower,26,1
find-zookies-smalls-23-1-flower,Zookies,Find,smalls,flower,23,1
curaleaf-lavender-cake-20-1-flower,Lavender Cake,Curaleaf,,flower,20,1
ips-pharma-kings-kush-24-1-flower,King's Kush,IPS Pharma,,flower,24,1
lit-snow-lotus-34-1-flower,Snow Lotus,LIT,,flower,34,1
dalgety-high-society-30-1-flower,High Society,Dalgety,,flower,30,1
medcan-isando-22-1-flower,Isando,Medcan,,flower,22,1
aurora-pedanios-ghost-train-haze-22-1-flower,Ghost Train Haze,Aurora Pedanios,,flower,22,1
tilray-headband-22-1-flower,Headband,Tilray,,flower,22,1
together-pharma-royal-moby-25-1-flower,Royal Moby,Together Pharma,,flower,25,1
grow-pharma-hellfire-og-24-1-flower,Hellfire OG,Grow Pharma,,flower,24,1
four20-pharma-pink-diesel-smalls-25-0p1-flower,Pink Diesel,Four20 Pharma,smalls,flower,25,0.1
four20-pharma-pink-diesel-26-0p1-flower,Pink Diesel,Four20 Pharma,,flower,26,0.1
medcan-strawberry-cheesecake-22-1-flower,Strawberry Cheesecake,Medcan,,flower,22,1
aurora-pedanios-la-confidential-24-1-flower,LA Confidential,Aurora Pedanios,,flower,24,1
tilray-sour-diesel-25-1-flower,Sour Diesel,Tilray,,flower,25,1
grow-pharma-gelato-33-1-flower,Gelato 33,Grow Pharma,,flower,25,1
together-pharma-power-plant-20-1-flower,Power Plant,Together Pharma,,flower,20,1
curaleaf-la-kush-cake-24-1-flower,LA Kush Cake,Curaleaf,,flower,24,1
aurora-pedanios-pink-kush-20-1-flower,Pink Kush,Aurora Pedanios,,flower,20,1
medcan-sc01-strawberry-og-22-1-flower,Strawberry OG,Medcan,,flower,22,1
together-pharma-critical-mass-20-1-flower,Critical Mass,Together Pharma,,flower,20,1
four20-pharma-wedding-sunset-27-1-flower,Wedding Sunset,Four20 Pharma,,flower,27,1
glass-pharms-gorilla-glue-26-1-flower,Gorilla Glue,Glass Pharms,,flower,26,1
aurora-pedanios-delahaze-22-1-flower,Delahaze,Aurora Pedanios,,flower,22,1
medcan-ultra-sour-25-1-flower,Ultra Sour,Medcan,,flower,25,1
four20-pharma-ice-cream-cake-27-1-flower,Ice Cream Cake,Four20 Pharma,,flower,27,1
tilray-master-kush-25-1-flower,Master Kush,Tilray,,flower,25,1
grow-pharma-zkittlez-23-1-flower,Zkittlez,Grow Pharma,,flower,23,1
dalgety-strawberry-ice-26-1-flower,Strawberry Ice,Dalgety,,flower,26,1
aurora-pedanios-sourdough-29-1-flower,Sourdough,Aurora Pedanios,,flower,29,1
medcan-wappa-20-1-flower,Wappa,Medcan,,flower,20,1
four20-pharma-mac-1-27-1-flower,MAC-1,Four20 Pharma,,flower,27,1
tilray-gorilla-zkittlez-25-1-flower,Gorilla Zkittlez,Tilray,,flower,25,1
grow-pharma-og-kush-24-1-flower,OG Kush,Grow Pharma,,flower,24,1
glass-pharms-purple-punch-26-1-flower,Purple Punch,Glass Pharms,,flower,26,1
aurora-pedanios-sun-farms-pink-kush-22-1-flower,Pink Kush,Aurora Sun Farms,,flower,22,1
medcan-royal-moby-20-1-flower,Royal Moby,Medcan,,flower,20,1
four20-pharma-white-widow-22-1-flower,White Widow,Four20 Pharma,,flower,22,1
tilray-rockstar-25-1-flower,Rockstar,Tilray,,flower,25,1
grow-pharma-blue-dream-24-1-flower,Blue Dream,Grow Pharma,,flower,24,1
dalgety-lemon-haze-26-1-flower,Lemon Haze,Dalgety,,flower,26,1
aurora-pedanios-durban-poison-22-1-flower,Durban Poison,Aurora Pedanios,,flower,22,1
medcan-gg4-24-1-flower,Gorilla Glue #4,Medcan,,flower,24,1
four20-pharma-northern-lights-22-1-flower,Northern Lights,Four20 Pharma,,flower,22,1
tilray-pineapple-express-25-1-flower,Pineapple Express,Tilray,,flower,25,1
grow-pharma-white-rhino-23-1-flower,White Rhino,Grow Pharma,,flower,23,1
dalgety-amnesia-haze-27-1-flower,Amnesia Haze,Dalgety,,flower,27,1
aurora-pedanios-electric-honeydew-29-1-flower,Electric Honeydew,Aurora Pedanios,,flower,29,1
medcan-cold-creek-kush-25-1-flower,Cold Creek Kush,Medcan,,flower,25,1
four20-pharma-gelato-33-1-flower,Gelato 33,Four20 Pharma,,flower,33,1
tilray-skunk-1-20-1-flower,Skunk #1,Tilray,,flower,20,1
grow-pharma-bubba-kush-24-1-flower,Bubba Kush,Grow Pharma,,flower,24,1
dalgety-critical-kush-28-1-flower,Critical Kush,Dalgety,,flower,28,1
aurora-pedanios-sourdough-smalls-27-1-flower,Sourdough,Aurora Pedanios,smalls,flower,27,1
medcan-glueberry-og-23-1-flower,Glueberry OG,Medcan,,flower,23,1
four20-pharma-lemon-skunk-24-1-flower,Lemon Skunk,Four20 Pharma,,flower,24,1
tilray-og-kush-25-1-flower,OG Kush,Tilray,,flower,25,1
grow-pharma-sunset-sherbet-26-1-flower,Sunset Sherbet,Grow Pharma,,flower,26,1
dalgety-pineapple-chunk-24-1-flower,Pineapple Chunk,Dalgety,,flower,24,1
aurora-pedanios-farm-gas-27-1-flower,Farm Gas,Aurora Pedanios,,flower,27,1
medcan-sherbet-glue-24-1-flower,Sherbet Glue,Medcan,,flower,24,1
four20-pharma-strawberry-og-26-1-flower,Strawberry OG,Four20 Pharma,,flower,26,1
tilray-afghan-kush-24-1-flower,Afghan Kush,Tilray,,flower,24,1
grow-pharma-mimosa-26-1-flower,Mimosa,Grow Pharma,,flower,26,1
dalgety-sour-strawberry-28-1-flower,Sour Strawberry,Dalgety,,flower,28,1
aurora-pedanios-chemango-kush-27-1-flower,Chemango Kush,Aurora Pedanios,,flower,27,1
medcan-l.a-confidential-24-1-flower,LA Confidential,Medcan,,flower,24,1
four20-pharma-blueberry-22-1-flower,Blueberry,Four20 Pharma,,flower,22,1
tilray-critical-haze-23-1-flower,Critical Haze,Tilray,,flower,23,1
grow-pharma-pineapple-express-24-1-flower,Pineapple Express,Grow Pharma,,flower,24,1
dalgety-gelato-31-1-flower,Gelato,Dalgety,,flower,31,1
aurora-pedanios-chem-dawg-26-1-flower,Chem Dawg,Aurora Pedanios,,flower,26,1
medcan-lemon-sour-diesel-25-1-flower,Lemon Sour Diesel,Medcan,,flower,25,1
four20-pharma-gmo-cookies-30-1-flower,GMO Cookies,Four20 Pharma,,flower,30,1
tilray-jack-herer-24-1-flower,Jack Herer,Tilray,,flower,24,1
grow-pharma-wedding-cake-26-1-flower,Wedding Cake,Grow Pharma,,flower,26,1
dalgety-og-cheese-28-1-flower,OG Cheese,Dalgety,,flower,28,1
aurora-pedanios-sugarbud-mule-fuel-27-1-flower,Mule Fuel,Aurora Pedanios,,flower,27,1
medcan-space-cake-24-1-flower,Space Cake,Medcan,,flower,24,1
four20-pharma-sunset-sherbet-27-1-flower,Sunset Sherbet,Four20 Pharma,,flower,27,1
tilray-chemdawg-25-1-flower,Chemdawg,Tilray,,flower,25,1
grow-pharma-purple-punch-26-1-flower,Purple Punch,Grow Pharma,,flower,26,1
dalgety-lemon-skunk-25-1-flower,Lemon Skunk,Dalgety,,flower,25,1
aurora-pedanios-sugarbud-gmo-cookies-30-1-flower,GMO Cookies,Aurora Pedanios,,flower,30,1
medcan-glueberry-og-smalls-22-1-flower,Glueberry OG,Medcan,smalls,flower,22,1
four20-pharma-og-kush-25-1-flower,OG Kush,Four20 Pharma,,flower,25,1
tilray-white-widow-22-1-flower,White Widow,Tilray,,flower,22,1
grow-pharma-lemon-haze-24-1-flower,Lemon Haze,Grow Pharma,,flower,24,1
dalgety-purple-kush-27-1-flower,Purple Kush,Dalgety,,flower,27,1
aurora-pedanios-sugarbud-gmo-cookies-smalls-28-1-flower,GMO Cookies,Aurora Pedanios,smalls,flower,28,1
medcan-ghost-train-haze-22-1-flower,Ghost Train Haze,Medcan,,flower,22,1
four20-pharma-wappa-20-1-flower,Wappa,Four20 Pharma,,flower,20,1
tilray-strawberry-glue-25-1-flower,Strawberry Glue,Tilray,,flower,25,1
grow-pharma-amnesia-haze-26-1-flower,Amnesia Haze,Grow Pharma,,flower,26,1
dalgety-gorilla-glue-28-1-flower,Gorilla Glue,Dalgety,,flower,28,1
mamedica-purple-milk-27-1-flower,Purple Milk,Mamedica,,,27,1,flower,Hybrid
sinceritas-mack-and-crack-28-1-flower,Mack & Crack,Sinceritas,,,28,1,flower,Sativa Hybrid
sinceritas-runtz-24-1-flower,Runtz,Sinceritas,,,24,1,flower,Hybrid
peace-naturals-og-kush-30-1-flower,OG Kush,Peace Naturals,,,30,1,flower,Hybrid
peace-naturals-blue-thai-27-1-flower,Blue Thai,Peace Naturals,,,27,1,flower,Hybrid
lit-snow-lotus-smalls-30-1-flower,Snow Lotus,LIT,smalls,,30,1,flower,Indica Hybrid
lit-sour-diesel-smalls-30-1-flower,Sour Diesel,LIT,smalls,,30,1,flower,Indica Hybrid
ips-pharma-jet-fuel-apricot-20-1-flower,Jet Fuel Apricot,IPS Pharma,,,20,1,flower,Hybrid
big-narstie-papaya-bantz-24-1-flower,Papaya Bantz,Big Narstie,,,24,1,flower,Indica Hybrid
spirit-bear-strawberry-meltshake-28-1-flower,Strawberry Meltshake,Spirit Bear,,,28,1,flower,Hybrid
tofino-ripper-super-sherb-27-1-flower,Super Sherb,Tofino Ripper,,,27,1,flower,Hybrid
tofino-ripper-electric-lemon-21-1-flower,Electric Lemon,Tofino Ripper,,,21,1,flower,Indica Hybrid
mystery-mountain-coco-bamba-26-1-flower,Coco Bamba,Mystery Mountain,,,26,1,flower,Indica Hybrid
mystery-mountain-seaton-lemon-haze-29-1-flower,Seaton Lemon Haze,Mystery Mountain,,,29,1,flower,Sativa Hybrid
superseed-blueberry-purp-25-1-flower,Blueberry Purp,Superseed,,,25,1,flower,Indica Hybrid
superseed-congo-creek-haze-30-1-flower,Congo Creek Haze,Superseed,,,30,1,flower,Sativa Hybrid
carmel-bananaconda-30-1-flower,Bananaconda,Carmel,,,30,1,flower,Hybrid
grassroots-tropic-thunder-28-1-flower,Tropic Thunder,Grassroots,,,28,1,flower,Hybrid
carmel-spiked-mai-tai-29-1-flower,Spiked Mai Tai,Carmel,,,29,1,flower,Hybrid
khiron-biscotti-mintz-22-1-flower,Biscotti Mintz,Khiron,,,22,1,flower,Hybrid
ecocann-access-black-cherry-pie-18-1-flower,Black Cherry Pie,EcoCann Access,,,18,1,flower,Hybrid
greyscales-gelato-dream-26-1-flower,Gelato Dream,Greyscales,,,26,1,flower,Hybrid
carmel-masterpiece-27-1-flower,Masterpiece,Carmel,,,27,1,flower,Hybrid
carmel-thin-mint-jealousy-25-1-flower,Thin Mint Jealousy,Carmel,,,25,1,flower,Hybrid
muzon-frosted-fruit-cake-28-1-flower,Frosted Fruit Cake,Muzon,,,28,1,flower,Indica Hybrid
four20-frozen-lemons-28-1-flower,Frozen Lemons,Four20 Pharma,,,28,1,flower,Sativa Hybrid
cookies-vienna-31-1-flower,Vienna,Cookies,,,31,1,flower,Hybrid
cookies-gelatti-32-1-flower,Gelatti,Cookies,,,32,1,flower,Indica Hybrid
green-joy-pink-lilac-25-1-flower,Pink Lilac,Green Joy,,,25,1,flower,Sativa Hybrid
wellford-aqua-legendary-bozy-29-1-flower,Legendary Bozy,Wellford Aqua,,,29,1,flower,Indica Hybrid
upstate-grape-burger-24-1-flower,Grape Burger,Upstate,,,24,1,flower,Indica Hybrid
four20-gastro-pop-31-1-flower,Gastro Pop,Four20 Pharma,,,31,1,flower,Indica Hybrid
ips-pharma-lasage-26-1-flower,L. A. S. A. G. E.,IPS Pharma,,,26,1,flower,Hybrid
avaay-khalifa-mints-28-1-flower,Khalifa Mints,Avaay,,,28,1,flower,Hybrid
tastee-bitz-banjo-22-1-flower,Banjo,Tastee Bitz,,,22,1,flower,Hybrid
tastee-bitz-blunicorn-22-1-flower,Blunicorn,Tastee Bitz,,,22,1,flower,Hybrid
find-zour-apples-22-1-flower,Zour Apples,Find,,,22,1,flower,Indica Hybrid
4clabs-afghan-lights-23-1-flower,Afghan Lights,4C Labs,,,23,1,flower,Hybrid
